age,gender,class,mac,nar,psy
17,female,11,9,5,17
17,male,11,16,20,11
17,female,11,13,13,12
17,female,11,10,9,17
15,female,9,6,7,9
16,female,11,6,7,5
17,female,11,11,12,15
18,female,11,7,4,4
17,female,11,19,8,14
16,other,10,10,13,16
15,female,9,7,9,17
16,female,10,14,12,16
16,female,10,6,5,13
17,female,11,12,7,8
16,female,10,8,12,12
16,female,10,7,6,17
14,female,9,11,8,16
16,male,10,10,14,12
16,male,11,15,11,12
16,male,10,10,14,12
16,female,10,11,14,12
17,female,11,12,12,17
